budget,actual_samples,accuracy_r2,unique_depths,depth_coverage_pct,time_span_min,corr_variance,corr_volatility,method
250,250,87.81179498468961,129,51.6,6717.316666666651,0.06295879612996329,0.5798802589163659,adaptive
500,500,71.51018200870622,129,51.6,11722.066666666651,-0.027476643237471933,0.6178675339869204,adaptive
1000,1000,94.33440066355398,248,99.2,22475.583333333314,-0.11908381095634633,0.5706991289941472,adaptive
2000,2000,77.86760234664997,250,100.0,41045.59999999998,0.06613621195569211,0.35794664322659536,adaptive
5000,5000,92.7219097803947,250,100.0,100670.44999999995,0.2734017296463031,0.27499397761487526,adaptive
250,250,98.5529256820972,18,7.199999999999999,132206.96666666667,-0.03184834833610427,0.021905328097477132,uniform
500,500,97.13789362159808,18,7.199999999999999,132206.96666666667,-0.027839199194345243,-0.024360370890759202,uniform
1000,1000,98.05284171323889,50,20.0,132206.96666666667,-0.0043287307633187435,-0.006298438172095127,uniform
2000,2000,99.44148853635636,72,28.799999999999997,132206.96666666667,0.015321036872678075,0.006550452123834162,uniform
5000,5000,98.28605129519488,50,20.0,132206.96666666667,0.007205389002829126,0.004572650713333869,uniform
250,250,75.84949474588223,156,62.4,131096.73333333334,-0.10505439887937527,0.12036426157712365,random
500,500,73.89872255142245,216,86.4,131450.9166666667,-0.09327152747622658,0.1442290908946473,random
1000,1000,96.35041395716311,243,97.2,132192.5,-0.09298946042802154,0.12848660717390725,random
2000,2000,98.90429234391281,250,100.0,132204.59999999998,-0.08210544715334706,0.08731515619877331,random
5000,5000,98.24414446374973,250,100.0,132204.59999999998,-0.16936865978544094,0.1379110319433661,random
